City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
334,The Valley,AI,77.83,scattered clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
335,Guayaramerin,BO,73.31,overcast clouds,-10.8368,-65.3614,Hostal Funf
336,San Marcos,US,77.02,overcast clouds,33.1434,-117.1661,Hampton Inn San Marcos
338,Pimentel,PE,71.62,overcast clouds,-6.8367,-79.9342,Casona Del Muelle
339,Concepcion Del Uruguay,AR,70.99,clear sky,-32.4825,-58.2372,Aires del Campo Cabañas y Hotel
340,Coihaique,CL,60.75,scattered clouds,-45.5752,-72.0662,Diego De Almagro Coyhaique
341,Parana,AR,75.51,clear sky,-31.732,-60.5238,Howard Johnson by Wyndham Plaza Hotel Mayorazgo
343,Dharmadam,IN,71.49,overcast clouds,11.7833,75.4333,Samudra Homes
344,Mount Isa,AU,87.57,clear sky,-20.7333,139.5,ibis Styles Mt Isa Verona
348,Constitucion,CL,60.3,scattered clouds,-35.3333,-72.4167,Hotel Boutique Las Azucenas
349,Nabire,ID,76.91,overcast clouds,-3.3667,135.4833,Hotel Nusantara Nabire
352,Ballina,AU,78.98,overcast clouds,-28.8667,153.5667,Ramada Hotel & Suites by Wyndham Ballina Byron
355,Zwedru,LR,71.53,few clouds,6.0667,-8.1281,Elijah Worjloh
357,Tutoia,BR,84.18,broken clouds,-2.7619,-42.2744,Pousada Guará's
359,Chililabombwe,ZM,62.08,light rain,-12.3648,27.8229,Tabernacle Guest Lodge and Events (Under new management!)
362,Camacha,PT,65.53,few clouds,33.0833,-16.3333,Hotel Porto Santo & Spa
366,Airai,TL,68.49,overcast clouds,-8.9266,125.4092,
370,Jacqueville,CI,82.31,clear sky,5.2052,-4.4146,Hotel Le Martin Pecheur
372,Jibuti,DJ,71.02,broken clouds,11.5,42.5,Orchid Main Camp Goubet
375,Quelimane,MZ,71.82,clear sky,-17.8786,36.8883,Hotel Flamingo
377,Yarada,IN,66.52,mist,17.65,83.2667,Yarada Jungle Beach Resorts
380,Tecoanapa,MX,78.46,broken clouds,16.5167,-98.75,Hotel Manglares
381,Villa Bruzual,VE,81.68,overcast clouds,9.3328,-69.1208,hotel italia
382,Sao Joao Dos Patos,BR,72.5,clear sky,-6.495,-43.7022,Montesino Hotel & Restaurante
386,Taoudenni,ML,66.67,clear sky,22.6783,-3.9836,
387,Tizimin,MX,68.95,overcast clouds,21.15,-88.15,silva hogar
392,Miraflores,MX,61.03,broken clouds,19.2167,-98.8083,Hotel Mansión
393,Mackay,AU,88.68,clear sky,-21.15,149.2,International Lodge Motel
395,Fare,PF,81.66,light rain,-16.7,-151.0167,Maitai Lapita Village Huahine
396,San Cristobal,VE,73.58,scattered clouds,7.7669,-72.225,Posada Villaven C.A.
401,Diego De Almagro,CL,65.08,clear sky,-26.3667,-70.05,hotel luna del desierto
402,Quatre Cocos,MU,75.31,overcast clouds,-20.2078,57.7625,Sunrise Attitude Hotel
404,Tanete,ID,81.1,overcast clouds,-3.9443,119.7848,Wisma Tri Multi
410,Livingstone,ZM,64.85,scattered clouds,-17.8419,25.8543,Gloria's Bed and Breakfast
411,Karratha,AU,87.37,few clouds,-20.7377,116.8463,ibis Styles Karratha
413,Maua,BR,69.37,broken clouds,-23.6678,-46.4614,Hotel Capriccio Mauá
414,Rumphi,MW,62.38,broken clouds,-11.0186,33.8575,Finst Rumphi Earthbag House Lodge
416,Ejura,GH,77.0,scattered clouds,7.3856,-1.3562,Fire Servece
417,Toucheng,TW,65.14,overcast clouds,24.8592,121.8233,和風時尚VILLA會館
418,Caravelas,BR,77.31,few clouds,-17.7125,-39.2481,Pousada dos Navegantes
420,Thaton,MM,66.79,overcast clouds,16.9206,97.3714,"Shwe Pyi Soe Guest House, Thaton"
423,Tuy Hoa,VN,75.96,overcast clouds,13.0833,109.3,CenDeluxe Hotel Tuy Hoa
425,Bandarbeyla,SO,74.98,broken clouds,9.4942,50.8122,JABIR HOTEL
426,Lima,PE,71.38,few clouds,-12.0432,-77.0282,Gran Hotel Bolivar Lima
428,La Palma,US,81.99,broken clouds,33.8464,-118.0467,La Quinta Inn & Suites by Wyndham Buena Park
430,Santa Maria,BR,67.3,clear sky,-29.6842,-53.8069,Hotel Morotin
435,Tarata,BO,62.02,broken clouds,-17.6167,-66.0167,Hacienda castillo
439,Basco,PH,74.41,overcast clouds,20.4487,121.9702,Nathaniel's Lodge
440,Kano,NG,64.29,overcast clouds,12.0001,8.5167,Havana Guest Inn
441,Cabedelo,BR,81.27,scattered clouds,-6.9811,-34.8339,Hotel Pigalle
443,Cockburn Town,TC,76.96,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
444,Mbengwi,CM,64.76,few clouds,6.0167,10.0,Senate Hotel
447,Phan Thiet,VN,79.92,overcast clouds,10.9333,108.1,Hotel Saigon-PT
450,Am Timan,TD,69.96,clear sky,11.0297,20.2827,Palais du chef Canton Salamt
453,Rawson,AR,63.39,few clouds,-43.3002,-65.1023,Hosteria Sampedro
454,Puerto Escondido,MX,77.05,scattered clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
458,Nanakuli,US,80.11,scattered clouds,21.3906,-158.1547,Camp Pālehua
459,Melo,UY,62.04,clear sky,-32.3667,-54.1833,Hotel Juana
460,Axim,GH,77.81,overcast clouds,4.8699,-2.2405,Axim Beach Resort And Spa
462,Kununurra,AU,84.18,broken clouds,-15.7667,128.7333,Hotel Kununurra
463,Kupang,ID,82.9,overcast clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
464,Huarmey,PE,71.46,overcast clouds,-10.0681,-78.1522,Hotel Miramar
467,Pemba,MZ,77.7,few clouds,-12.974,40.5178,Guesthouse Samotina
468,Lazaro Cardenas,MX,75.88,clear sky,17.9583,-102.2,Baymont by Wyndham Lazaro Cardenas
469,Catio,GW,72.68,broken clouds,11.2833,-15.25,Pausada Morabedja
471,Saldanha,ZA,62.65,overcast clouds,-33.0117,17.9442,Blue Bay Lodge
472,Port Hedland,AU,84.25,scattered clouds,-20.3167,118.5667,"The Esplanade Hotel (Accommodation section closed for refurbishment - Bar, Restaurant & Functions remain open)"
475,Touros,BR,81.5,clear sky,-5.1989,-35.4608,INN NEW HORIZON
479,Bowen,AU,84.42,clear sky,-20.0167,148.2333,Castle Motor Lodge Motel
482,Jega,NG,71.53,broken clouds,12.2175,4.3792,ALH. Nasiru Ibrahim
484,Maneadero,MX,66.09,clear sky,31.7167,-116.5667,Casa De Thompson
487,Aden,YE,76.33,few clouds,12.7794,45.0367,Sama Emirate Hotel
488,Hoima,UG,70.66,overcast clouds,1.4356,31.3436,Tik Hotel
490,Doha,QA,60.78,clear sky,25.2867,51.5333,Movenpick Hotel Doha
492,Ampanihy,MG,73.0,overcast clouds,-24.7,44.75,Angora Hotel
496,Makakilo City,US,79.61,scattered clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
497,General Roca,AR,79.2,overcast clouds,-39.0333,-67.5833,Hotel y Casino del Río General Roca
500,Chicama,PE,68.54,overcast clouds,-7.8447,-79.1469,Balihai Bungalows
502,Mattru,SL,74.07,clear sky,7.6244,-11.8332,"Mondkor Town, Bagbo Chiefdom, Bo District"
503,Kailua,US,81.07,broken clouds,21.4022,-157.7394,Sheffield House Bed & Breakfast
504,Senanga,ZM,68.22,overcast clouds,-16.1167,23.2667,Zango lodge
506,Kerouane,GN,71.82,clear sky,9.2667,-9.0167,
507,Coquimbo,CL,64.22,scattered clouds,-29.9533,-71.3436,Hostel Del Puerto
509,Codrington,AU,70.05,overcast clouds,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
512,Tautira,PF,86.02,light rain,-17.7333,-149.15,Pension Oaoa
515,Kalmunai,LK,76.19,overcast clouds,7.4167,81.8167,VS Villa
516,Tabalosos,PE,70.0,overcast clouds,-6.35,-76.6833,Proyecto de Lounge Nazareth
517,Padang,ID,75.25,overcast clouds,-0.9492,100.3543,Mercure Padang
518,Alto Araguaia,BR,68.7,overcast clouds,-17.3147,-53.2153,Araguaia Palace Hotel
521,Batangafo,CF,70.34,clear sky,7.3008,18.2833,OCHA Office
523,Pemangkat,ID,78.39,overcast clouds,1.1667,108.9667,Ramah Kost KITA
526,Bathsheba,BB,74.01,scattered clouds,13.2167,-59.5167,Atlantis Hotel
529,San Quintin,MX,64.0,clear sky,30.4833,-115.95,Don Eddie's Landing
530,Boyolangu,ID,79.07,overcast clouds,-8.1181,111.8935,Yos ega cv
532,Tabon,PH,82.18,overcast clouds,9.2388,117.9946,Port Lodge
533,Miranda,CO,66.33,overcast clouds,3.2499,-76.2281,unidiversidad organica la utopia
536,Ojinaga,MX,61.75,clear sky,29.5667,-104.4167,Suites Las Palmas
538,Eydhafushi,MV,81.25,overcast clouds,5.1033,73.0708,Soneva Fushi
539,Necochea,AR,65.03,overcast clouds,-38.5473,-58.7368,dyd -mar Hotel
540,Sal Rei,CV,68.56,clear sky,16.1833,-22.9167,Marine Club Beach Resort
541,Chincholi,IN,68.68,overcast clouds,17.4667,77.4333,Friends men's were
543,Pandhana,IN,63.84,few clouds,21.7,76.2167,ठा. करण सिंह चौहान
544,Da Nang,VN,75.18,broken clouds,16.0678,108.2208,Sun River Hotel
548,Bubaque,GW,77.7,clear sky,11.2833,-15.8333,"Casa Dora, Bubaque"
549,Auki,SB,78.1,light rain,-8.7676,160.7034,Auki Motel
550,Bontang,ID,77.13,moderate rain,0.1333,117.5,KOPKAR Hotel Bintang Sintuk
552,Sao Joao Da Barra,BR,72.88,moderate rain,-21.6403,-41.0511,Pousada Porto De Canoas
555,Paso De Los Toros,UY,65.61,clear sky,-32.8167,-56.5167,Complejo Isabelino
557,Acapulco,MX,76.89,clear sky,16.8634,-99.8901,HS Hotsson Smart Acapulco
558,San Miguel,SV,74.77,clear sky,13.4833,-88.1833,Hotel Tropico Inn San Miguel
560,Tanout,NE,62.58,clear sky,14.9709,8.8879,
561,Bairiki,KI,82.13,broken clouds,1.3292,172.9752,Tarawa Boutique Hotel
562,Torres,BR,68.83,clear sky,-29.3353,-49.7269,Farol Hotel
563,High Rock,BS,73.24,clear sky,26.6208,-78.2833,Hideaway Bahamas Beach Club
564,Maceio,BR,80.04,few clouds,-9.6658,-35.7353,Poutur Pousada
567,Bandar-E Lengeh,IR,64.96,clear sky,26.5579,54.8807,کافی نت پارس
568,Sao Felix Do Xingu,BR,72.75,overcast clouds,-6.6447,-51.995,Rio Xingu Camping
569,Oussouye,SN,71.92,clear sky,12.485,-16.5469,Auberge du Routard
570,Cairo,EG,60.22,haze,30.0626,31.2497,Grand Hotel
572,Tuatapere,NZ,64.81,moderate rain,-46.1333,167.6833,Ron and Tony's Bed & Breakfast
573,Lucapa,AO,64.22,overcast clouds,-8.4192,20.7447,Residência Ulisses Dos Santos
574,Cap Malheureux,MU,74.46,overcast clouds,-19.9842,57.6142,Pereybere Hotel & Spa
575,Bambanglipuro,ID,79.75,overcast clouds,-7.95,110.2833,Puri Brata
576,Ambon,ID,82.54,scattered clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
578,Luwuk,ID,84.85,overcast clouds,-0.9516,122.7875,Hotel Santika Luwuk
579,Kango,GA,74.68,broken clouds,0.1943,10.0951,Hôtel Bar Restaurant Le Bercail
581,Port Blair,IN,75.24,mist,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
582,Tomatlan,MX,71.35,clear sky,19.9333,-105.25,El Salvial
588,Bella Union,UY,68.95,clear sky,-30.2752,-57.6007,Saville Free Shop
590,Manicore,BR,74.1,moderate rain,-5.8092,-61.3003,Hotel Durval
596,Kidal,ML,67.24,clear sky,18.4411,1.4078,
600,Manali,IN,78.08,overcast clouds,13.1667,80.2667,Sarathy Lodge
610,Kaura Namoda,NG,69.46,overcast clouds,12.5898,6.5779,Moonlight Hotel
614,Fortaleza,BR,82.22,broken clouds,-3.7227,-38.5247,Hotel Sonata de Iracema
616,Olinda,BR,82.13,scattered clouds,-8.0089,-34.8553,Hotel Albergue de Olinda
618,Camacupa,AO,61.09,overcast clouds,-12.0167,17.4833,
619,San Jose,US,72.09,clear sky,37.3394,-121.895,The Westin San Jose
623,Turiacu,BR,74.5,broken clouds,-1.6633,-45.3717,Pousada Maranata
624,Isla Mujeres,MX,69.17,overcast clouds,21.2311,-86.731,Hotel La Joya Isla Mujeres
625,Carauari,BR,73.29,heavy intensity rain,-4.8828,-66.8958,Hotel Fellip
626,Tamandare,BR,78.96,few clouds,-8.7597,-35.1047,Pousada 100 Passos
627,Puerto Del Rosario,ES,71.35,overcast clouds,28.5004,-13.8627,Hotel JM Puerto del Rosario
628,Porto Novo,BJ,76.64,scattered clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
632,Meulaboh,ID,76.12,overcast clouds,4.1363,96.1285,Kost Pria
633,Filingue,NE,70.72,clear sky,14.3521,3.3168,
636,Mundo Nuevo,MX,65.41,overcast clouds,18.7,-95.5,
639,Coruripe,BR,78.49,few clouds,-10.1256,-36.1756,Pousada e Hotel Litoral Sul
640,Leogane,HT,77.18,scattered clouds,18.5108,-72.6339,Family Health Ministries Guest House
642,Nishihara,JP,65.48,broken clouds,26.1842,127.7558,Minshuku Agaihama
645,Nouadhibou,MR,66.09,scattered clouds,20.931,-17.0347,El Medina
647,Black River,JM,72.99,few clouds,18.0264,-77.8487,Idlers' Rest Beach Hotel
648,Bodden Town,KY,79.0,clear sky,19.2833,-81.25,Will T Place
649,Labuhan,ID,79.9,overcast clouds,-6.8844,112.2051,DoubleFAG
650,Weligama,LK,76.26,overcast clouds,5.9667,80.4167,Weligama Bay Resort
651,Itarema,BR,79.27,scattered clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
652,Iralaya,HN,75.18,clear sky,15.0,-83.2333,Iglesia morava renovada
663,Totness,SR,76.32,scattered clouds,5.8833,-56.3167,STAATS LOGEERGEBOUW TOTNESS
664,Kieta,PG,85.64,light rain,-6.2167,155.6333,Uruna Bay Retreat
666,Lagarto,BR,80.89,clear sky,-10.9172,-37.65,Pousada Cota
667,Nhamunda,BR,75.42,light rain,-2.1861,-56.7131,Pousada Da Praia
673,Waingapu,ID,84.0,light rain,-9.6567,120.2641,Pondok Wisata Elim
675,Guerrero Negro,MX,66.52,few clouds,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
677,Castelo Do Piaui,BR,77.29,scattered clouds,-5.3222,-41.5525,Nobre Hotel
680,Piedras Negras,MX,64.98,clear sky,28.7,-100.5167,"Holiday Inn Express & Suites Eagle Pass, an IHG Hotel"
683,Daru,PG,80.17,light rain,-9.0763,143.2092,Daru Lodge
684,Kamakwie,SL,71.67,scattered clouds,9.5,-12.2333,White House Hotel
685,Port Macquarie,AU,80.89,clear sky,-31.4333,152.9167,Rydges Port Macquarie
686,Merauke,ID,82.81,overcast clouds,-8.4667,140.3333,
688,Bumba,CD,70.63,broken clouds,2.1833,22.4667,Père Carlos
690,Canutama,BR,73.74,light rain,-6.5339,-64.3831,Hotel Jhennifer
